Wavelength	Flux	BestFit	SkyFlux
4213.083	12.267	8.405	41.218
4214.053	9.812	8.441	41.520
4215.023	9.252	8.490	40.176
4215.994	7.815	8.562	38.658
4216.965	8.359	8.657	38.243
4217.936	11.174	8.748	38.767
4218.907	11.815	8.810	39.210
4219.879	9.702	8.871	40.342
4220.851	7.616	8.880	42.357
4221.823	10.049	8.890	43.283
4222.795	6.175	8.847	41.968
4223.767	9.773	8.769	39.416
4224.740	8.318	8.734	37.150
4225.713	10.059	8.689	34.277
4226.686	9.017	8.613	29.890
4227.659	8.733	8.621	26.769
4228.633	10.822	8.577	28.813
4229.607	10.022	8.445	34.979
4230.581	7.066	8.341	39.767
4231.555	6.114	8.266	41.169
4232.530	7.688	8.217	41.452
4233.504	7.058	8.274	40.149
4234.479	8.320	8.298	38.799
4235.454	12.541	8.291	37.594
4236.430	8.890	8.376	36.896
4237.405	8.134	8.440	35.844
4238.381	10.968	8.438	35.547
4239.357	10.316	8.467	36.373
4240.333	8.008	8.475	37.202
4241.310	7.557	8.483	37.984
4242.287	6.906	8.573	38.878
4243.263	10.744	8.631	38.417
4244.241	9.309	8.591	39.230
4245.218	8.201	8.549	40.244
4246.196	8.268	8.562	40.685
4247.173	6.742	8.586	40.962
4248.152	9.106	8.580	39.700
4249.130	9.125	8.663	37.268
4250.108	9.149	8.723	34.639
4251.087	11.674	8.765	34.296
4252.066	11.546	8.780	36.021
4253.045	9.350	8.749	38.435
4254.025	8.423	8.659	39.196
4255.004	10.609	8.515	37.262
4255.984	8.652	8.413	35.530
4256.964	8.938	8.344	37.268
4257.945	9.323	8.291	39.840
4258.925	7.979	8.278	39.558
4259.906	10.848	8.319	35.855
4260.887	10.386	8.359	31.878
4261.868	7.053	8.428	30.846
4262.849	8.750	8.547	33.319
4263.831	10.486	8.663	37.571
4264.813	9.450	8.757	40.024
4265.795	9.296	8.853	39.774
4266.778	10.358	8.929	39.190
4267.760	10.725	8.942	39.547
4268.743	9.629	8.887	38.829
4269.726	9.304	8.875	36.746
4270.709	11.053	8.909	34.394
4271.693	11.693	8.868	31.877
4272.676	11.131	8.754	30.042
4273.660	8.844	8.707	30.826
4274.644	5.667	8.746	32.606
4275.629	7.513	8.786	33.943
4276.613	9.408	8.835	35.180
4277.598	9.640	8.958	36.685
4278.583	6.528	9.059	38.026
4279.569	7.761	9.080	38.520
4280.554	8.040	8.977	37.461
4281.540	8.014	8.802	35.818
4282.526	7.550	8.582	35.449
4283.512	8.026	8.312	36.215
4284.499	8.018	8.050	37.096
4285.485	6.278	7.848	36.766
4286.472	6.081	7.837	34.531
4287.459	8.297	8.005	33.461
4288.447	9.863	8.292	33.819
4289.434	9.927	8.601	33.401
4290.422	6.567	8.750	30.718
4291.410	7.820	8.780	30.352
4292.398	8.482	8.755	32.310
4293.387	9.907	8.743	33.524
4294.375	10.496	8.749	34.131
4295.364	9.922	8.735	34.345
4296.353	8.772	8.712	33.909
4297.343	8.618	8.669	33.243
